Spell Name;Description 1;Description 2;Description 3;Description 4;Description 5;Description 6;Description 7;Description 8;Description 9;Description 10;Description 11;Description 12;Extra;Mana Drain;WAR;CLR;PAL;RNG;SHD;DRU;MNK;BRD;ROG;SHM;NEC;WIZ;MAG;ENC;BST;Casting Time;Fizzle Time;Recovery Time;Indoor/Outdoor;Time;Location;Skill;Duration;Dur Formula;AoE Duration;Pos/Neg;Category;Attrib 1;Min 1;Max 1;Calc 1;Attrib 2;Min 2;Max 2;Calc 2;Attrib 3;Min 3;Max 3;Calc 3;Attrib 4;Min 4;Max 4;Calc 4;Attrib 5;Min 5;Max 5;Calc 5;Attrib 6;Min 6;Max 6;Calc 6;Attrib 7;Min 7;Max 7;Calc 7;Attrib 8;Min 8;Max 8;Calc 8;Attrib 9;Min 9;Max 9;Calc 9;Attrib 10;Min 10;Max 10;Calc 10;Attrib 11;Min 11;Max 11;Calc 11;Attrib 12;Min 12;Max 12;Calc 12;Reagent 1;Quantity 1;Reageant 2;Quantity 2;Reageant 3;Quantity 3;Reageant 4;Quantity 4;Focus 1;Focus 2;Resistance;Target;Resist Adj;Gem;Range;AoE Range;Back Range;Up Range;Spell ID;You Cast;Someone Casts;Cast on You;Cast on Someone;Spell Fades;
Force;Stuns target for 6.0 (L34) seconds;Decrease Hit Points (HP) from 74 (L34) to 90 (L50);;;;;;;;;;;;90;61;34;52;61;61;61;61;61;61;61;61;61;61;61;61;2.50;2.50;18.0;;;None;Evocation;0;0;0;0;Stun;Stuns;6000;0;;Hit Points (HP);-40;90;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;20;2059;200;0;3;0;124;;;You are stunned.; is stunned.;You are no longer stunned.;
Sound of Force;Stuns target for 8.0 (L49) seconds;Decrease Hit Points (HP) by 220 (L49);;;;;;;;;;;;120;61;49;61;61;61;61;61;61;61;61;61;61;61;61;61;3.0;2.50;24.0;;;None;Evocation;0;0;0;0;Stun;Stuns;8000;0;;Hit Points (HP);-220;220;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;0;2059;200;0;5;0;125;;;You are stunned.; is stunned.;You are no longer stunned.;
Inspire Fear;Fear;;;;;;;;;;;;;80;61;24;61;61;61;61;61;61;61;61;61;61;61;61;61;4.0;2.25;8.0;;;None;Alteration;5;1;0;0;Fear;Fear;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;25;2116;200;0;0;0;126;;;Your mind fills with fear.; looks very afraid.;You are no longer afraid.;
Invoke Fear;Fear;;;;;;;;;;;;;100;61;39;61;61;49;61;61;61;61;61;34;61;61;39;61;2.50;2.25;7.0;;;None;Alteration;7;2;0;0;Fear;Fear;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;15;2116;200;0;0;0;127;;;Your mind fills with fear.; looks very afraid.;You are no longer afraid.;
Wave of Fear;Fear;;;;;;;;;;;;;90;61;24;61;61;61;61;61;61;61;61;61;61;61;61;61;4.50;2.25;9.0;;;None;Alteration;3;1;0;0;Fear;Fear;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;Point Blank AoE;25;2083;0;15;0;0;128;;;Your mind fills with fear.; looks very afraid.;You are no longer afraid.;
Shield of Brambles;Damage Shield from 11 (L29) to 12 (L32);;;;;;;;;;;;;80;61;61;61;49;61;29;61;61;61;61;61;61;61;61;61;2.50;2.25;0.0;;;None;Abjuration;0;7;0;0;Buffing;Damage Shield;-4;12;min + level /  4;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;25;2057;100;0;0;0;129;;;You are surrounded by a thorny barrier.; is surrounded by a thorny barrier.;The brambles fall away.;
Divine Barrier;Divine Aura;Damage Shield from 25 (L29) to 36 (L50);;Regeneration for between 90 (L29) to 153 (L50) Hit Points (HP) in 3 ticks;;;;;;;;;;100;61;29;61;61;61;61;61;61;61;61;61;61;61;61;61;2.0;5.0;900.0;;;None;Abjuration;3;1;0;0;Buffing;Divine Aura;1;0;;Damage Shield;-11;36;min + level /  2;Charisma;0;0;;Hit Points (HP);1;51;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Self;25;2045;0;0;0;0;130;;;You are surrounded by a divine barrier.; is surrounded by a divine barrier.;The barrier fades.;
Enstill;;Root;;;;;;;;;;;;60;61;29;54;61;61;61;61;61;61;34;53;20;61;29;61;2.50;2.25;0.0;;;None;Alteration;16;2;0;0;Root;Charisma;0;0;;Root;-10000;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;25;2118;200;0;0;0;131;;;Your feet adhere to the ground.; adheres to the ground.;Your feet come free.;
Immobilize;;Root;;;;;;;;;;;;80;61;49;61;61;61;61;61;61;61;51;58;39;61;39;61;1.75;2.25;3.0;;;None;Alteration;10;8;0;0;Root;Charisma;0;0;;Root;-10000;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;0;2118;200;0;0;0;132;;;Your feet adhere to the ground.; adheres to the ground.;Your feet come free.;
Paralyzing Earth;;Root;;;;;;;;;;;;100;61;56;61;61;61;61;61;61;61;56;49;49;61;49;61;2.50;2.25;2.50;;;None;Alteration;30;8;0;0;Root;Charisma;0;0;;Root;-10000;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;0;2118;200;0;0;0;133;;;Your feet adhere to the ground.; adheres to the ground.;Your feet come free.;
Blinding Luminance;Blinds;Decrease Attack (ATK) by 5 (L34);;;;;;;;;;;;50;61;34;61;61;61;61;61;61;61;39;61;61;61;61;61;1.50;2.25;3.0;;;None;Divination;4;1;0;0;Blinding;Blinds;-1;0;;Attack (ATK);-5;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;15;2115;200;0;0;0;134;;;You are blinded by a flash of light.; is blinded by a flash of light.;Your sight returns.;
Word of Health;Increase Hit Points (HP) from 94 (L34) to 100 (L40);;;;;;;;;;;;;180;61;34;61;61;61;61;61;61;61;61;61;61;61;61;61;3.0;2.50;0.0;;;None;Alteration;0;0;0;0;Healing;Hit Points (HP);60;100;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Full Group;20;2007;100;50;0;0;135;;;You feel much better.; feels much better.;;
Word of Healing;Increase Hit Points (HP) by 393 (L49);;;;;;;;;;;;;600;61;49;61;61;61;61;61;61;61;61;61;61;61;61;61;4.0;2.50;0.0;;;None;Alteration;0;0;0;0;Healing;Hit Points (HP);1;400;x 8;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Full Group;0;2007;100;50;0;0;136;;;You feel much better.; feels much better.;;
Pack Regeneration;Increase Hit Points (HP) by 5 (L39);;;;;;;;;;;;;200;61;61;61;61;61;39;61;61;61;61;61;61;61;61;61;6.0;2.50;6.0;;;None;Alteration;0;9;0;0;Healing;Hit Points (HP);5;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Full Group;15;2007;100;50;0;0;137;;;You begin to regenerate.; begins to regenerate.;You have stopped regenerating.;
Pack Chloroplast;Increase Hit Points (HP) by 10 (L49);;;;;;;;;;;;;400;61;61;61;61;61;49;61;61;61;61;61;61;61;61;61;9.0;2.50;12.0;;;None;Alteration;0;9;0;0;Healing;Hit Points (HP);10;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Full Group;0;2007;100;50;0;0;138;;;You begin to regenerate.; begins to regenerate.;;
Feral Spirit;Increase Attack Speed for between 16% (L19) to 20% (L32);Increase Strength from 16 (L19) to 20 (L32);Increase Armor Class (AC) from 7 (L19) to 14 (L60);;;;;;;;;;;50;61;61;61;61;61;19;61;61;61;61;61;61;61;61;61;6.0;2.25;12.0;;;None;Alteration;0;8;0;0;Illusion;Attack Speed;112;120;min + level /  4;Strength;12;20;min + level /  4;Armor Class (AC);15;0;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Pet;25;2058;100;0;0;0;139;;;; foams at the mouth.;;
Savage Spirit;Increase Attack Speed for between 64% (L44) to 70% (L50);Increase Strength from 42 (L44) to 45 (L50);Increase Armor Class (AC) from 16 (L44) to 17 (L50);;;;;;;;;;;100;61;61;61;61;61;44;61;61;61;61;61;61;61;61;61;6.0;2.25;30.0;;;None;Alteration;0;8;0;0;Illusion;Attack Speed;120;170;min + level;Strength;20;45;min + level /  2;Armor Class (AC);30;55;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Pet;5;2058;100;0;0;0;140;;;;'s eyes gleam with madness.;;
Beguile Animals;Attempting to charm (9);;;;;;;;;;;;;170;61;61;61;61;61;34;61;61;61;61;61;61;61;61;61;6.0;2.25;12.0;;;None;Alteration;0;10;0;0;Calm;Charm;9;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;Animal;25;2059;200;0;0;0;141;;;; blinks.;;
Allure of the Wild;Attempting to charm (16);;;;;;;;;;;;;220;61;61;61;61;61;44;61;61;61;61;61;61;61;61;61;9.0;2.25;24.0;;;None;Alteration;0;10;0;0;Calm;Charm;16;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;Animal;5;2059;200;0;0;0;142;;;; blinks.;;
Sunbeam;Blinds;;;;;;;;;;;;;40;61;61;61;61;61;24;61;61;61;61;61;61;61;61;61;3.0;2.25;12.0;Outdoor;;None;Divination;3;5;0;0;Blinding;Blinds;-1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;Target Based AoE;25;2093;200;20;0;0;143;;;You are blinded by a sunbeam.; is blinded by a sunbeam.;Your sight returns.;
Regeneration;Increase Hit Points (HP) by 5 (L24);;;;;;;;;;;;;100;61;61;61;61;61;34;61;61;61;24;61;61;61;61;61;6.0;2.50;0.0;;;None;Alteration;0;10;0;0;Healing;Hit Points (HP);5;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2051;100;0;0;0;144;;;You begin to regenerate.; begins to regenerate.;You have stopped regenerating.;
Chloroplast;Increase Hit Points (HP) by 10 (L39);;;;;;;;;;;;;200;61;61;61;55;61;44;61;61;61;39;61;61;61;61;55;6.0;2.50;0.0;;;None;Alteration;0;10;0;0;Healing;Hit Points (HP);10;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;5;2051;100;0;0;0;145;;;You begin to regenerate.; begins to regenerate.;You have stopped regenerating.;
Spirit of Monkey;Increase Dexterity by 20 (L24);;;;;;;;;;;;;40;61;61;61;61;61;61;61;61;61;24;61;61;61;61;39;5.0;2.25;0.0;;;None;Alteration;360;3;0;0;Attributes;Dexterity;9;20;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2124;100;0;0;0;146;;;You feel the spirit of monkey enter you.; is surrounded by a brief simian aura.;The spirit of monkey leaves.;
Spirit Strength;Increase Strength from 16 (L19) to 18 (L22);;;;;;;;;;;;;40;61;61;61;61;61;61;61;61;61;19;61;61;61;61;30;5.0;2.25;0.0;;;None;Alteration;360;3;0;0;Attributes;Strength;7;18;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2124;100;0;0;0;147;;;You feel stronger.; looks stronger.;Your strength fades.;
Spirit of Cat;Increase Agility from 23 (L19) to 27 (L23);;;;;;;;;;;;;60;61;61;61;61;61;61;61;61;61;19;61;61;61;61;61;5.0;2.25;0.0;;;None;Alteration;450;3;0;0;Attributes;Agility;4;27;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2124;100;0;0;0;148;;;You feel the spirit of cat enter you.; is surrounded by a brief feline aura.;The spirit of cat leaves you.;
Spirit of Ox;Increase Stamina from 21 (L24) to 23 (L28);;;;;;;;;;;;;60;61;61;61;61;61;61;61;61;61;24;61;61;61;61;39;5.0;2.25;0.0;;;None;Alteration;450;3;0;0;Attributes;Stamina;9;23;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2124;100;0;0;0;149;;;You feel the spirit of ox enter you.; is surrounded by a brief bovine aura.;The spirit of ox leaves you;
Alluring Aura;Increase Charisma from 20 (L29) to 23 (L34);;;;;;;;;;;;;60;61;61;61;61;61;61;61;61;61;29;61;61;61;61;61;5.0;2.25;0.0;;;None;Alteration;450;3;0;0;Attributes;Charisma;6;23;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2124;100;0;0;0;150;;;You feel alluring.; is surrounded by an alluring aura.;Your aura fades.;
Raging Strength;Increase Strength from 23 (L29) to 26 (L34);;;;;;;;;;;;;60;61;61;61;61;61;61;61;61;61;29;61;61;61;61;49;3.50;2.25;0.0;;;None;Alteration;450;3;0;0;Attributes;Strength;9;26;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2124;100;0;0;0;151;;;You feel stronger.; looks stronger.;Your strength fades.;
Deftness;Increase Dexterity by 40 (L39);;;;;;;;;;;;;80;61;61;61;61;61;61;61;61;61;39;61;61;61;61;53;5.0;2.25;0.0;;;None;Alteration;540;3;0;0;Attributes;Dexterity;1;40;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;15;2124;100;0;0;0;152;;;You feel dexterous.; looks dexterous.;Your dexterity fades.;
Furious Strength;Increase Strength from 31 (L39) to 34 (L44);;;;;;;;;;;;;80;61;61;61;61;61;61;61;61;61;39;61;61;61;61;61;5.0;2.25;0.0;;;None;Alteration;540;3;0;0;Attributes;Strength;12;34;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;15;2124;100;0;0;0;153;;;You feel stronger.; looks stronger.;Your strength fades.;
Agility;Increase Agility from 43 (L44) to 45 (L48);;;;;;;;;;;;;100;61;61;61;61;61;61;61;61;61;44;61;61;61;61;61;5.0;2.25;0.0;;;None;Alteration;630;3;0;0;Attributes;Agility;21;45;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;5;2124;100;0;0;0;154;;;You feel agile.; looks agile.;Your agility fades.;
Glamour;Increase Charisma from 29 (L39) to 32 (L44);;;;;;;;;;;;;80;61;61;61;61;61;61;61;61;61;39;61;61;61;61;61;5.0;2.25;0.0;;;None;Alteration;540;3;0;0;Attributes;Charisma;10;32;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;15;2124;100;0;0;0;155;;;You feel glamorous.; looks glamorous.;Your charisma fades.;
Charisma;Increase Charisma by 40 (L49);;;;;;;;;;;;;100;61;61;61;61;61;61;61;61;61;49;61;61;61;61;61;5.0;2.25;0.0;;;None;Alteration;630;3;0;0;Attributes;Charisma;40;40;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;0;2124;100;0;0;0;156;;;You feel charismatic.; looks charismatic.;Your charisma fades.;
Dexterity;Increase Dexterity by 50 (L49);;;;;;;;;;;;;100;61;61;61;61;61;61;61;61;61;49;61;61;61;61;61;5.0;2.25;0.0;;;None;Alteration;630;3;0;0;Attributes;Dexterity;1;50;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;0;2124;100;0;0;0;157;;;You feel dexterous.; looks dexterous.;Your dexterity fades.;
Stamina;Increase Stamina from 37 (L44) to 40 (L50);;;;;;;;;;;;;100;61;61;61;61;61;61;61;61;61;44;61;61;61;61;61;5.0;2.25;0.0;;;None;Alteration;630;3;0;0;Attributes;Stamina;15;40;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;5;2124;100;0;0;0;158;;;You feel robust.; looks robust.;Your stamina fades.;
Strength;Increase Strength from 66 (L49) to 67 (L50);;;;;;;;;;;;;100;61;61;61;61;61;61;61;61;61;49;61;61;61;61;61;5.0;2.25;0.0;;;None;Alteration;630;3;0;0;Attributes;Strength;42;67;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;0;2124;100;0;0;0;159;;;You feel strong.; looks strong.;Your strength fades.;
Nimble;Increase Agility from 33 (L34) to 36 (L40);;;;;;;;;;;;;80;61;61;61;61;61;61;61;61;61;34;61;61;61;61;61;5.0;2.25;0.0;;;None;Alteration;540;3;0;0;Attributes;Agility;16;36;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2124;100;0;0;0;160;;;You feel nimble.; looks nimble.;Your agility fades.;
Health;Increase Stamina from 29 (L34) to 31 (L38);;;;;;;;;;;;;80;61;61;61;61;61;61;61;61;61;34;61;61;61;61;52;5.0;2.25;0.0;;;None;Alteration;540;3;0;0;Attributes;Stamina;12;31;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2124;100;0;0;0;161;;;You feel healthy.; looks healthy.;Your health fades.;
Listless Power;;Decrease Agility from 24 (L29) to 35 (L50);Decrease Strength from 24 (L29) to 35 (L50);Decrease Armor Class (AC) from 12 (L29) to 18 (L50);;;;;;;;;;90;61;61;61;61;61;61;61;61;61;29;61;61;61;29;49;2.75;2.25;0.0;;;None;Alteration;0;7;0;0;Lifeforce;Charisma;0;0;;Agility;-10;35;min + level /  2;Strength;-10;35;min + level /  2;Armor Class (AC);-10;60;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;25;2125;200;0;0;0;162;;;You feel frail.; looks frail.;You feel your strength return.;
Incapacitate;;Decrease Agility from 49 (L44) to 55 (L50);Decrease Strength from 49 (L44) to 55 (L50);Decrease Armor Class (AC) from 22 (L44) to 24 (L50);;;;;;;;;;150;61;61;61;61;61;61;61;61;61;44;61;61;61;44;56;3.25;2.25;0.0;;;None;Alteration;0;7;0;0;Lifeforce;Charisma;0;0;;Agility;-5;55;min + level;Strength;-5;55;min + level;Armor Class (AC);-30;80;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;5;2125;200;0;0;0;163;;;You feel frail.; looks frail.;You feel your strength return.;
Companion Spirit;Summons a Spirit Wolf Type 24;;;;;;;;;;;;SpiritWolf224;350;61;61;61;61;61;61;61;61;61;34;61;61;61;61;61;10.0;2.25;20.0;;;None;Conjuration;0;0;0;0;Summoning;Summon Pet;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Self;25;2106;0;0;0;0;164;;;You summon a companion spirit.; summons a companion spirit.;;
Guardian Spirit;Summons a Spirit Wolf Type 30;;;;;;;;;;;;SpiritWolf230;450;61;61;61;61;61;61;61;61;61;44;61;61;61;61;61;14.0;2.25;28.0;;;None;Conjuration;0;0;0;0;Summoning;Summon Pet;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Self;0;2106;0;0;0;0;165;;;You summon a guardian spirit.; summons a guardian spirit.;;
Frenzied Spirit;Summons a Spirit Wolf Type 34;;;;;;;;;;;;SpiritWolf234;500;61;61;61;61;61;61;61;61;61;49;61;61;61;61;61;16.0;2.25;32.0;;;None;Conjuration;0;0;0;0;Summoning;Summon Pet;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Self;0;2106;0;0;0;0;166;;;You summon a frenzied spirit.; summons a frenzied spirit.;;
Talisman of Tnarg;Increase Total Hit Points from 134 (L34) to 150 (L50);Increase Current Hitpoints from 134 (L34) to 150 (L50);;;;;;;;;;;;125;61;61;61;61;61;61;61;61;61;34;61;61;61;61;61;5.0;2.50;5.0;;;None;Alteration;720;3;0;0;Buffing;Total Hit Points;100;150;min + level;Current Hitpoints;100;150;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2056;100;0;0;0;167;;;You feel tough.; looks tougher.;Your hit points fade.;
Talisman of Altuna;Increase Total Hit Points from 238 (L44) to 250 (L50);Increase Current Hitpoints from 238 (L44) to 250 (L50);;;;;;;;;;;;250;61;61;61;61;61;61;61;61;61;44;61;61;61;61;58;8.0;2.50;7.50;;;None;Alteration;720;3;0;0;Buffing;Total Hit Points;150;250;min + level *  2;Current Hitpoints;150;250;min + level *  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;5;2056;100;0;0;0;168;;;You feel tough.; looks tougher.;Your hit points fade.;
Pack Spirit;;Increase Movement between 49% (L39) to 55% (L50);;;;;;;;;;;;120;61;61;61;61;61;39;61;61;61;61;61;61;61;61;61;6.50;2.25;9.0;Outdoor;;None;Alteration;360;3;0;0;Attributes;Charisma;0;0;;Movement;30;55;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Full Group;15;2010;100;50;0;0;169;;;You feel the spirit of wolf enter you.; is surrounded by a brief lupine aura.;The spirit of wolf leaves you.;
Alacrity;Increase Attack Speed for between 34% (L24) to 40% (L36) in 110 ticks;;;;;;;;;;;;;115;61;61;61;61;61;61;61;61;61;44;61;61;61;24;60;4.0;2.25;0.0;;;None;Alteration;110;9;0;0;Root;Attack Speed;122;140;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;5;2054;100;0;0;0;170;;;You feel much faster.; feels much faster.;Your speed returns to normal.;
Celerity;Increase Attack Speed for between 47% (L39) to 50% (L44) in 160 ticks;;;;;;;;;;;;;185;61;61;61;61;61;61;61;61;61;56;61;61;61;39;61;8.0;2.25;0.0;;;None;Alteration;160;10;0;0;Root;Attack Speed;128;150;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;15;2054;100;0;0;0;171;;;You feel much faster.; feels much faster.;Your speed returns to normal.;
Swift like the Wind;Increase Attack Speed by 60% (L49);;;;;;;;;;;;;250;61;61;61;61;61;61;61;61;61;61;61;61;61;49;61;8.0;2.25;0.0;;;None;Alteration;160;10;0;0;Root;Attack Speed;160;160;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;0;2054;100;0;0;0;172;;;You feel much faster.; feels much faster.;Your speed returns to normal.;
Benevolence;Increase Faction by 200 (L20);;;;;;;;;;;;;50;61;61;61;61;61;61;61;61;61;61;61;61;61;20;61;4.0;2.25;3.50;;;None;Alteration;0;0;0;0;Calm;Faction;200;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;25;2059;200;0;0;0;173;;;You feel quite amicable.; looks friendly.;You no longer feel amicable.;
Clarity;;Increase Mana from 4 (L29) to 7 (L48);;;;;;;;;;;;75;61;61;61;61;61;61;61;61;61;61;61;61;61;29;61;3.10;2.25;0.0;;;None;Alteration;270;3;0;0;Clarity;Charisma;0;0;;Mana;1;7;min + level /  8;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2120;200;0;0;0;174;;;A cool breeze slips through your mind.; looks tranquil.;The cool breeze fades.;
