'Test''Test1''Spell Name','Description 1','Description 2','Description 3','Description 4','Extra','Mana Drain','WAR','CLR','PAL','RNG','SHD','DRU','MNK','BRD','ROG','SHM','NEC','WIZ','MAG','ENC','Casting Time','Fizzle Time','Recovery Time','Indoor/Outdoor','Location','Skill','Duration','Dur Formula','AoE Duration','Pos/Neg','Category','Attrib 1','Min 1','Max 1','Calc 1','Attrib 2','Min 2','Max 2','Calc 2','Attrib 3','Min 3','Max 3','Calc 3','Attrib 4','Min 4','Max 4','Calc 4','Reagent 1','Quantity 1','Reageant 2','Quantity 2','Reageant 3','Quantity 3','Reageant 4','Quantity 4','Focus 1','Focus 2','Resistance','Target','Resist Adj','Gem','Range','AoE Range','Back Range','Up Range'
'Repulse Animal','Fear','','','','','100','61','61','61','61','61','51','61','61','61','61','61','61','61','61','1.75','2.25','4.0','','None','Alteration','8','8','0.0','44','Fear','Fear','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Animal','25','2116','200','0','0','0',
'Mark of Karn','Damage Shield by 10 (L56)','','','','','125','61','56','61','61','61','61','61','61','61','61','61','61','61','61','3.0','2.25','0.0','','None','Abjuration','0','8','0.0','42','Healing','Damage Shield','10','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','25','2122','200','0','0','0',
'Death Pact','Increase Attack (ATK) by 5 (L51)','','','','','100','61','51','61','61','61','61','61','61','61','61','61','61','61','61','6.0','2.25','60.0','','None','Abjuration','210','10','0.0','42','Healing','Attack (ATK)','5','0','','','0','0','','','0','0','','','0','0','','Pearl','1','','1','','1','','1','','','None','All','0','2051','100','0','0','0',
'Divine Intervention','Increase Attack (ATK) by 5 (L60)','','','','','500','61','60','61','61','61','61','61','61','61','61','61','61','61','61','6.0','2.25','60.0','','None','Abjuration','70','7','0.0','50','Healing','Attack (ATK)','5','0','','','0','0','','','0','0','','','0','0','','Opal','1','','1','','1','','1','','','None','All','0','2051','100','0','0','0',
'The Unspoken Word','Cures Blindness','Stuns target','Increase Current Hitpoints by 605 (L59)','','','427','61','59','61','61','61','61','61','61','61','61','61','61','61','61','1.0','5.0','120.0','','None','Evocation','1','5','0.0','43','Pain','Blinds','1','0','','Stuns','1','0','','Current Hitpoints','605','605','','','0','0','','','1','','1','','1','','1','','','Magic','Point Blank AoE','0','2086','0','20','1','0',
'Enforced Reverence','Stuns target for 8.0 (L58) seconds','Decrease Hit Points (HP) by 250 (L58)','','','','240','61','58','61','61','61','61','61','61','61','61','61','61','61','61','3.0','2.50','24.0','','None','Evocation','0','0','0.0','44','Stun','Stuns','8000','0','','Hit Points (HP)','-250','250','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','0','2059','200','0','5','0',
'Reckoning','Decrease Hit Points (HP) from 630 (L54) to 670 (L58)','','','','','250','61','54','61','61','61','61','61','61','61','61','61','61','61','61','7.0','2.50','6.0','','None','Evocation','0','0','0.0','44','Striking','Hit Points (HP)','-90','675','x 10','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','0','2119','200','0','1','0',
'Upheaval','Decrease Hit Points (HP) from 648 (L51) to 718 (L58)','','','','','625','61','52','61','61','61','51','61','61','61','61','61','61','61','61','5.0','2.50','24.0','','None','Evocation','0','0','0.0','43','Root','Hit Points (HP)','-138','725','x 10','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Point Blank AoE','0','2085','0','35','1','0',
'Wake of Tranquility','Change Frenzy Radius to 1 feet','Change Reaction Radius to 1 feet','Lower Aggression','','','300','61','55','61','61','61','61','61','61','61','61','61','61','61','51','4.50','2.25','18.0','','None','Alteration','0','8','0.0','44','Calm','Frenzy Radius','1','0','','Reaction Radius','1','0','','Lower Aggression','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','NPC','0','2059','200','35','0','0',
'Aegis','','','','Increase Armor Class (AC) by 35 (L57)','','450','61','57','61','61','61','61','61','61','61','61','61','61','61','61','7.0','3.50','0.0','','None','Abjuration','1440','3','0.0','42','Buffing','Charisma','0','0','','Charisma','0','0','','Charisma','0','0','','Armor Class (AC)','115','0','','','1','','1','','1','','1','','','None','All','0','2056','100','0','0','0',
'Fortitude','Increase Armor Class (AC) from 17 (L55) to 18 (L60)','Increase Total Hit Points from 320 (L55) to 340 (L60)','','','','175','61','55','61','61','61','61','61','61','61','61','61','61','61','61','7.0','3.50','0.0','','None','Abjuration','1440','3','0.0','42','Buffing','Armor Class (AC)','30','60','min + level /  2','Total Hit Points','100','0','x 4','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','0','2056','100','0','0','0',
'Heroic Bond','Increase Armor Class (AC) from 18 (L52) to 20 (L60)','Increase Total Hit Points from 360 (L52) to 400 (L60)','Increase Current Hitpoints from 360 (L52) to 400 (L60)','','','420','61','52','61','61','61','61','61','61','61','61','61','61','61','61','3.50','2.50','0.0','','None','Abjuration','720','3','0.0','42','Buffing','Armor Class (AC)','35','65','min + level /  2','Total Hit Points','100','0','x 5','Current Hitpoints','100','0','x 5','','0','0','','','1','','1','','1','','1','','','None','Full Group','0','2012','0','70','0','0',
'Bulwark of Faith','','','','Increase Armor Class (AC) by 38 (L57)','','350','61','57','61','61','61','61','61','61','61','61','61','61','61','61','7.0','2.25','0.0','','None','Abjuration','810','3','0.0','42','Buffing','Charisma','0','0','','Charisma','0','0','','Charisma','0','0','','Armor Class (AC)','125','0','','','1','','1','','1','','1','','','None','All','0','2056','100','0','0','0',
'United Resolve','Increase Armor Class (AC) by 17 (L54)','Increase Total Hit Points from 262 (L54) to 280 (L60)','Increase Current Hitpoints from 262 (L54) to 280 (L60)','','','330','61','54','61','61','61','61','61','61','61','61','61','61','61','61','4.50','2.50','0.0','','None','Abjuration','630','3','0.0','42','Buffing','Armor Class (AC)','30','55','min + level /  2','Total Hit Points','100','0','min + level *  3','Current Hitpoints','100','0','min + level *  3','','0','0','','','1','','1','','1','','1','','','None','Full Group','0','2012','0','60','0','0',
'Symbol of Marzin','','','Increase Total Hit Points from 640 (L54) to 700 (L60)','Increase Current Hitpoints from 640 (L54) to 700 (L60)','','350','61','54','61','61','61','61','61','61','61','61','61','61','61','61','5.0','2.50','0.0','','None','Abjuration','630','3','0.0','42','Buffing','Charisma','0','0','','Charisma','0','0','','Total Hit Points','100','700','x 10','Current Hitpoints','100','700','x 10','Peridot','1','','1','','1','','1','','','None','All','5','2056','100','0','0','0',
'Yaulp IV','Increase Attack (ATK) from 27 (L53) to 31 (L60)','Increase Armor Class (AC) by 15 (L53)','Increase Strength by 40 (L53)','Decrease Stamina Loss by 10 (L53)','','1','61','53','61','61','61','61','61','61','61','61','61','61','61','61','0.50','2.25','18.0','','None','Abjuration','4','8','0.0','27','Attributes','Attack (ATK)','1','0','min + level /  2','Armor Class (AC)','50','0','','Strength','40','0','','Stamina Loss','-10','0','','','1','','1','','1','','1','','','None','Self','0','2113','0','0','0','0',
'Heroism','Increase Armor Class (AC) from 18 (L52) to 20 (L60)','Increase Total Hit Points from 360 (L52) to 400 (L60)','Increase Current Hitpoints from 360 (L52) to 400 (L60)','','','140','61','52','61','61','61','61','61','61','61','61','61','61','61','61','3.50','2.50','0.0','','None','Abjuration','720','3','0.0','42','Buffing','Armor Class (AC)','35','65','min + level /  2','Total Hit Points','100','0','x 5','Current Hitpoints','100','0','x 5','','0','0','','','1','','1','','1','','1','','','None','All','5','2056','100','0','0','0',
'Dread of Night','Fear + 7 levels','','','','','100','61','51','61','61','61','61','61','61','61','61','51','61','61','61','1.75','2.25','4.0','','None','Alteration','8','2','0.0','44','Fear','Fear','7','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Undead','25','2116','200','0','0','0',
'Banishment','Destroy Target','','','','','500','61','61','61','61','61','60','61','61','61','61','61','61','60','61','4.0','3.50','120.0','','None','Evocation','0','0','0.0','44','Dead/Summon','Destroy Target','1','0','','','0','0','','','0','0','','','0','0','','Star Ruby','1','','1','','1','','1','','','Magic','Summoned','5','2119','200','0','0','0',
'Banishment of Shadows','Destroy Target','','','','','750','61','60','61','61','61','61','61','61','61','61','60','61','61','61','4.0','3.50','120.0','','None','Evocation','0','0','0.0','44','Dead/Summon','Destroy Target','1','0','','','0','0','','','0','0','','','0','0','','Star Ruby','1','','1','','1','','1','','','Magic','Undead','0','2119','200','0','0','0',
'Exile Summoned','Decrease Hit Points (HP) from 675 (L55) to 725 (L60)','','','','','250','61','61','61','61','61','55','61','61','61','61','61','61','56','61','5.0','2.50','0.0','','None','Evocation','0','0','0.0','44','Dead/Summon','Hit Points (HP)','-125','725','x 10','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Summoned','5','2119','200','0','0','0',
'Exile Undead','Decrease Hit Points (HP) from 675 (L55) to 725 (L60)','','','','','250','61','55','61','61','61','61','61','61','61','61','57','61','61','61','5.0','2.50','0.0','','None','Evocation','0','0','0.0','44','Dead/Summon','Hit Points (HP)','-125','725','x 10','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Undead','5','2119','200','0','0','0',
'Trepidation','Fear','','','','','200','61','57','61','61','61','61','61','61','61','61','56','61','61','56','2.50','2.25','7.0','','None','Alteration','6','7','0.0','44','Fear','Fear','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','0','2116','200','0','0','0',
'Annul Magic','Cancel Magic + 9 levels','Cancel Magic + 9 levels','','','','75','61','53','61','61','61','55','61','61','61','55','53','53','53','61','4.0','2.25','6.0','','None','Abjuration','0','0','0.0','42','Magic/Light','Cancel Magic','9','0','','Cancel Magic','9','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','0','2122','200','0','0','0',
'Antidote','Removing 9 Poison counters','Removing 9 Poison counters','Removing 9 Poison counters','Removing 9 Poison counters','','100','61','58','61','61','61','61','61','61','61','61','61','61','61','61','3.0','2.25','0.0','','None','Alteration','4','4','0.0','43','Healing','Poison','-9','0','','Poison','-9','0','','Poison','-9','0','','Poison','-9','0','','','1','','1','','1','','1','','','None','All','0','2051','200','0','0','0',
'Reviviscence','Resurrection - Regain 96% of experience','','','','','600','61','56','61','61','61','61','61','61','61','61','61','61','61','61','7.0','2.25','15.0','','None','Alteration','0','0','0.0','43','Healing','Resurrection','96','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Corpse','0','2051','200','0','0','0',
'Word of Redemption','Increase Hit Points (HP) by 10000 (L60)','','','','','1100','61','60','61','61','61','61','61','61','61','61','61','61','61','61','12.0','2.50','0.0','','None','Alteration','0','0','0.0','43','Healing','Hit Points (HP)','10000','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Full Group','0','2007','0','70','0','0',
'Celestial Elixir','Regeneration for between 984 (L59) to 1000 (L60) Hit Points (HP) in 4 ticks','Removing 4 Poison counters','Removing 4 Disease counters','','','300','61','59','61','61','61','61','61','61','61','61','61','61','61','61','4.0','2.50','0.0','','None','Alteration','4','4','0.0','43','Healing','Hit Points (HP)','10','250','x 4','Poison','-4','0','','Disease','-4','0','','','0','0','','','1','','1','','1','','1','','','None','All','25','2051','100','0','0','0',
'Word of Restoration','Increase Hit Points (HP) from 720 (L57) to 750 (L60)','Removing 9 Poison counters','Removing 9 Disease counters','','','900','61','57','61','61','61','61','61','61','61','61','61','61','61','61','4.50','2.50','0.0','','None','Alteration','0','0','0.0','43','Healing','Hit Points (HP)','150','750','x 10','Poison','-9','0','','Disease','-9','0','','','0','0','','','1','','1','','1','','1','','','None','Full Group','0','2007','100','70','0','0',
'Word of Vigor','Increase Hit Points (HP) from 590 (L52) to 620 (L55)','Decrease Stamina Loss by 100 (L52)','','','','750','61','52','61','61','61','61','61','61','61','61','61','61','61','61','4.25','2.50','0.0','','None','Alteration','0','0','0.0','43','Healing','Hit Points (HP)','70','625','x 10','Stamina Loss','-100','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Full Group','0','2007','100','60','0','0',
'Divine Light','Increase Hit Points (HP) from 880 (L53) to 910 (L56)','','','','','350','61','53','61','61','61','61','61','61','61','61','61','61','61','61','4.50','2.50','0.0','','None','Alteration','0','0','0.0','43','Healing','Hit Points (HP)','350','910','x 10','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','25','2051','100','0','0','0',
'Remedy','Increase Hit Points (HP) from 433 (L51) to 438 (L60)','','','','','175','61','51','61','61','61','61','61','61','61','61','61','61','61','61','3.0','2.50','0.0','','None','Alteration','0','0','0.0','43','Healing','Hit Points (HP)','408','438','min + level /  2','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','15','2051','200','0','0','0',
'Circle of the Combines','Teleport to location 2484,7717 in The Dreadlands','','','','dreadlands','300','61','61','61','61','61','34','61','61','61','61','61','61','61','61','16.0','2.25','12.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','2484','0','','','7717','0','','','1051','0','','','191','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Combine Portal','Teleport to location 3047,9658 in The Dreadlands','','','','dreadlands','300','61','61','61','61','61','61','61','61','61','61','61','34','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','3047','0','','','9658','0','','','1052','0','','','249','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Covetous Subversion','','Increase Mana by 100 (L44)','','','','300','61','61','61','61','61','61','61','61','61','61','44','61','61','61','3.0','2.25','8.0','','None','Alteration','0','0','0.0','42','Clarity','Charisma','0','0','','Mana','100','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','25','2076','200','0','0','0',
'Rapacious Subversion','','Increase Mana by 60 (L24)','','','','200','61','61','61','61','61','61','61','61','61','61','24','61','61','61','3.0','2.25','8.0','','None','Alteration','0','0','0.0','42','Clarity','Charisma','0','0','','Mana','60','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','25','2076','200','0','0','0',
'Scent of Darkness','Adding 9 Poison counters','Decrease Fire Resist from 24 (L39) to 27 (L44)','Decrease Poison Resist from 24 (L39) to 27 (L44)','Decrease Disease Resist from 24 (L39) to 27 (L44)','','150','61','61','61','61','61','61','61','61','61','61','39','61','61','61','3.0','2.25','6.0','','None','Alteration','0','9','0.0','42','Lifeforce','Poison','9','0','','Fire Resist','-5','27','min + level /  2','Poison Resist','-5','27','min + level /  2','Disease Resist','-5','27','min + level /  2','','1','','1','','1','','1','','','Poison','All','25','2121','200','0','0','0',
'Scent of Shadow','Adding 4 Poison counters','Decrease Fire Resist from 14 (L24) to 18 (L32)','Decrease Poison Resist from 14 (L24) to 18 (L32)','Decrease Disease Resist from 14 (L24) to 18 (L32)','','100','61','61','61','61','61','61','61','61','61','61','24','61','61','61','3.0','2.25','6.0','','None','Alteration','0','9','0.0','42','Lifeforce','Poison','4','0','','Fire Resist','-2','18','min + level /  2','Poison Resist','-2','18','min + level /  2','Disease Resist','-2','18','min + level /  2','','1','','1','','1','','1','','','Poison','All','25','2121','200','0','0','0',
'Scent of Dusk','Adding 1 Poison counters','Decrease Fire Resist from 7 (L12) to 9 (L16)','Decrease Poison Resist from 7 (L12) to 9 (L16)','Decrease Disease Resist from 7 (L12) to 9 (L16)','','50','61','61','61','61','61','61','61','61','61','61','12','61','61','61','3.0','2.25','6.0','','None','Alteration','0','9','0.0','42','Lifeforce','Poison','1','0','','Fire Resist','-1','9','min + level /  2','Poison Resist','-1','9','min + level /  2','Disease Resist','-1','9','min + level /  2','','1','','1','','1','','1','','','Poison','All','25','2121','200','0','0','0',
'Shadow Compact','','Regeneration for 80 Hit Points (HP) in 4 ticks and adds it to yours','','','','10','61','61','61','61','61','61','61','61','61','61','20','61','61','61','2.0','2.50','12.0','','None','Alteration','4','1','0.0','42','Divine','Charisma','0','0','','Hit Points (HP)','20','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Drain','25','2051','100','0','0','0',
'Leach','','','DoT for 72 Hit Points (HP) in 9 ticks and adds it to yours','','','72','61','61','61','61','61','61','61','61','61','61','12','61','61','61','2.40','2.50','10.0','','None','Alteration','9','2','0.0','44','Pain','Charisma','0','0','','Charisma','0','0','','Hit Points (HP)','-8','0','','','0','0','','','1','','1','','1','','1','','','Magic','Drain','25','2083','200','0','0','0',
'Asystole','Adding 4 Disease counters','Decrease Strength from 37 (L44) to 40 (L50)','Decrease Armor Class (AC) from 16 (L44) to 18 (L50)','DoT for 690 Hit Points (HP) in 10 ticks','','210','61','61','61','61','60','61','61','61','61','61','44','61','61','61','6.10','2.50','0.0','','None','Alteration','10','1','0.0','44','Fear','Disease','4','0','','Strength','-15','40','min + level /  2','Armor Class (AC)','-10','60','min + level','Hit Points (HP)','-69','0','','','1','','1','','1','','1','','','Disease','All','20','2125','200','0','0','0',
'Blessing of the Theurgist','Increase Mana by 75 (L1)','','','','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Alteration','0','0','0.0','43','Bugs/Misc','Mana','75','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2059','0','0','0','0',
'Scouring Wind','Decrease Armor Class (AC) from 3 (L1) to 12 (L30) and adds it to yours','','','Decrease Agility by 10 (L1) and adds it to yours','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Alteration','0','1','0.0','44','48','Armor Class (AC)','-10','40','min + level','Charisma','0','0','','Charisma','0','0','','Agility','-10','0','','','1','','1','','1','','1','','','Magic','Drain','25','2121','50','0','0','0',
'Renew Summoning','Increase Hit Points (HP) from 140 (L20) to 220 (L60)','','','','','100','61','61','61','61','61','61','61','61','61','61','61','61','20','61','3.50','2.50','7.50','','None','Alteration','0','0','0.0','43','Healing','Hit Points (HP)','100','0','min + level *  2','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Pet','25','2051','100','0','0','0',
'Renew Elements','Increase Hit Points (HP) from 33 (L8) to 50 (L25)','','','','','25','61','61','61','61','61','61','61','61','61','61','61','61','8','61','3.0','2.50','6.50','','None','Alteration','0','0','0.0','43','Healing','Hit Points (HP)','25','50','min + level','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Pet','25','2051','100','0','0','0',
'Modulating Rod','Summoning Modulating Rods (Summoned)','','','','','200','61','61','61','61','61','61','61','61','61','61','61','61','44','61','4.0','2.25','0.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Item','6346','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2106','0','0','0','0',
'Modulation','Decrease Hit Points (HP) by 225 (L1)','Increase Mana by 150 (L1)','','','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Alteration','0','0','0.0','42','50','Hit Points (HP)','-225','0','','Mana','150','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','0','2109','0','0','0','0',
'Diminution','Increase Shrinkage by 75% (L1)','','','','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Alteration','0','0','0.0','43','Illusion','Shrinkage','75','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','0','2122','0','0','0','0',
'Wimpy Healing','Increase Hit Points (HP) from 242 (L1) to 300 (L30)','','','','','150','61','61','61','61','61','61','61','61','61','61','61','61','61','61','3.75','2.50','0.0','','None','Alteration','0','0','0.0','43','Healing','Hit Points (HP)','240','300','min + level *  2','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','25','2051','100','0','0','0',
'Fangol's Breath','Decrease Hit Points (HP) by 120 (L1)','','','','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','2.50','0.0','','None','Conjuration','0','0','0.0','44','Poison','Hit Points (HP)','-120','120','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Poison','All','0','2049','200','0','0','0',
'Mistmoore Charm','Stun','','','','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','2.0','0.0','0.0','','None','Instantaneous','30','3','0.0','43','Calm','Stun','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','0','2059','200','0','0','0',
'Siphon','Decrease Hit Points (HP) by 80 (L1) and adds it to yours','','','','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','0','0','0.0','44','Lifeforce','Hit Points (HP)','-80','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Drain','0','2116','200','0','0','0',
'Flurry','Increase Attack Speed for between 11% (L1) to 40% (L30) in 50 ticks','','','','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','50','9','0.0','43','49','Attack Speed','110','140','min + level','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','0','2054','0','0','0','0',
'Swamp Port','Teleport to location -438,985 in Innothule Swamp','','','','innothule','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','0','0','0.0','43','Invisi/Gate','Teleport','-438','0','','','985','0','','','30','0','','','483','0','','','1','','1','','1','','1','','','None','Self','0','2112','0','0','0','0',
'Frost Port','Teleport to location 115,919 in EverFrost','','','','everfrost','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','0','0','0.0','43','Invisi/Gate','Teleport','115','0','','','919','0','','','-58','0','','','114','0','','','1','','1','','1','','1','','','None','Self','0','2112','0','0','0','0',
'Aura of Purity','','Decrease Charisma from 2 (L1) to 15 (L14)','Increase Poison Resist from 3 (L1) to 25 (L12)','Increase Strength from 3 (L1) to 25 (L12)','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','300','11','0.0','43','49','Charisma','0','0','','Charisma','-1','15','min + level','Poison Resist','1','25','min + level *  2','Strength','1','25','min + level *  2','','1','','1','','1','','1','','','None','Self','0','2045','0','0','0','0',
'Aura of Heat','','Decrease Strength from 2 (L1) to 15 (L14)','Increase Stamina from 3 (L1) to 25 (L12)','Increase Cold Resist from 3 (L1) to 25 (L12)','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','300','11','0.0','43','49','Charisma','0','0','','Strength','-1','15','min + level','Stamina','1','25','min + level *  2','Cold Resist','1','25','min + level *  2','','1','','1','','1','','1','','','None','Self','0','2045','0','0','0','0',
'Aura of Cold','','Decrease Stamina from 2 (L1) to 15 (L14)','Increase Agility from 3 (L1) to 25 (L12)','Increase Fire Resist from 3 (L1) to 25 (L12)','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','300','11','0.0','43','49','Charisma','0','0','','Stamina','-1','15','min + level','Agility','1','25','min + level *  2','Fire Resist','1','25','min + level *  2','','1','','1','','1','','1','','','None','Self','0','2045','0','0','0','0',
'Null Aura','','Decrease Agility from 2 (L1) to 15 (L14)','Increase Disease Resist from 3 (L1) to 25 (L12)','Increase Dexterity from 3 (L1) to 25 (L12)','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','300','11','0.0','43','49','Charisma','0','0','','Agility','-1','15','min + level','Disease Resist','1','25','min + level *  2','Dexterity','1','25','min + level *  2','','1','','1','','1','','1','','','None','Self','0','2045','0','0','0','0',
'Aura of Antibody','','Decrease Dexterity from 2 (L1) to 15 (L14)','Increase Charisma from 3 (L1) to 25 (L12)','Increase Disease Resist from 3 (L1) to 25 (L12)','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','300','11','0.0','43','49','Charisma','0','0','','Dexterity','-1','15','min + level','Charisma','1','25','min + level *  2','Disease Resist','1','25','min + level *  2','','1','','1','','1','','1','','','None','Self','0','2045','0','0','0','0',
'Power','','Decrease Stamina from 2 (L1) to 20 (L19)','Increase Dexterity from 2 (L1) to 15 (L14)','Increase Strength from 2 (L1) to 25 (L24)','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','300','11','0.0','43','49','Charisma','0','0','','Stamina','-1','20','min + level','Dexterity','1','15','min + level','Strength','1','25','min + level','','1','','1','','1','','1','','','None','Self','0','2124','0','0','0','0',
'Adroitness','','Decrease Dexterity from 2 (L1) to 20 (L19)','Increase Agility from 2 (L1) to 15 (L14)','Increase Stamina from 2 (L1) to 25 (L24)','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','300','11','0.0','43','49','Charisma','0','0','','Dexterity','-1','20','min + level','Agility','1','15','min + level','Stamina','1','25','min + level','','1','','1','','1','','1','','','None','Self','0','2124','0','0','0','0',
'Accuracy','','Decrease Stamina from 2 (L1) to 20 (L19)','Increase Agility from 2 (L1) to 15 (L14)','Increase Dexterity from 2 (L1) to 25 (L24)','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','300','11','0.0','43','49','Charisma','0','0','','Stamina','-1','20','min + level','Agility','1','15','min + level','Dexterity','1','25','min + level','','1','','1','','1','','1','','','None','Self','0','2124','0','0','0','0',
'Stability','','Decrease Agility from 2 (L1) to 20 (L19)','Increase Stamina from 2 (L1) to 15 (L14)','Increase Strength from 2 (L1) to 25 (L24)','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','300','11','0.0','43','49','Charisma','0','0','','Agility','-1','20','min + level','Stamina','1','15','min + level','Strength','1','25','min + level','','1','','1','','1','','1','','','None','Self','0','2124','0','0','0','0',
'Cohesion','','Decrease Agility from 2 (L1) to 20 (L19)','Increase Stamina from 2 (L1) to 15 (L14)','Increase Dexterity from 2 (L1) to 25 (L24)','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','300','11','0.0','43','49','Charisma','0','0','','Agility','-1','20','min + level','Stamina','1','15','min + level','Dexterity','1','25','min + level','','1','','1','','1','','1','','','None','Self','0','2124','0','0','0','0',
'Vigor','','Decrease Stamina from 2 (L1) to 20 (L19)','Increase Agility from 2 (L1) to 15 (L14)','Increase Strength from 2 (L1) to 25 (L24)','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','300','11','0.0','43','49','Charisma','0','0','','Stamina','-1','20','min + level','Agility','1','15','min + level','Strength','1','25','min + level','','1','','1','','1','','1','','','None','Self','0','2124','0','0','0','0',
'Rejuvenation','Decrease Intelligence from 2 (L1) to 61 (L60)','Decrease Attack Speed by 20% (L1)','Decrease Strength from 2 (L1) to 61 (L60)','Regeneration for between 40 (L1) to 1220 (L60) Hit Points (HP) in 20 ticks','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','20','3','0.0','42','50','Intelligence','-1','0','min + level','Attack Speed','80','0','','Strength','-1','0','min + level','Hit Points (HP)','1','0','min + level','','1','','1','','1','','1','','','None','Self','0','2040','0','0','0','0',
'Scorching Skin','','Damage Shield from 1 (L1) to 16 (L60)','','','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','0','9','0.0','42','48','Charisma','0','0','','Damage Shield','-1','0','min + level /  4','','0','0','','','0','0','','','1','','1','','1','','1','','','Fire','Self','0','2030','0','0','0','0',
